quantile,n_samples,price_min,price_max,price_mean,smape_percent,mae,rmse
0,7501,0.13,3.5650000000000004,2.36369150779896,87.54156176294936,5.2572266059140516,7.905255052874025
1,7504,3.57,5.6,4.587837153518124,60.14635393538605,5.186769762964983,7.999378932308121
2,7638,5.605,7.99,6.828868159203981,45.740306542541866,4.827227177569915,7.284961050246818
3,7359,7.995,10.78,9.41494768310912,36.24538845173789,4.43548041386519,6.866157119873265
4,7515,10.785,14.0,12.443408516300732,33.009572688898444,4.717358085426544,7.575329981302631
5,7485,14.005,18.45,16.118591182364728,33.35210984914322,5.4445160120166785,7.725064586949511
6,7504,18.455,24.69,21.198585421108742,37.56011676475461,7.0865756564518945,9.26812297238272
7,7494,24.7,33.89,28.710144782492662,44.58450226253406,10.201985073612374,12.767985289221901
8,7500,33.895,52.3,41.70875733333334,55.22128227172986,16.971192623060432,20.47655662576408
9,7500,52.31,2796.0,93.16930866666667,66.51961571079656,45.91471204142296,77.45501244000963
