,price,price,price,price,content_len_chars,content_len_words,image_link
,min,max,mean,count,mean,mean,<lambda>
price_bin,,,,,,,
0,0.13,3.57,2.36,7501,503.9,84.2,7501
1,3.57,5.6,4.59,7504,572.42,94.42,7504
2,5.6,7.99,6.83,7638,683.14,111.65,7638
3,8.0,10.78,9.41,7359,805.05,131.29,7359
4,10.78,14.0,12.44,7515,969.96,157.35,7515
5,14.0,18.45,16.12,7485,1033.97,167.56,7485
6,18.45,24.69,21.2,7504,1052.01,170.46,7504
7,24.7,33.89,28.71,7494,1122.6,181.78,7494
8,33.9,52.3,41.71,7500,1183.72,191.58,7500
9,52.31,2796.0,93.17,7500,1164.75,188.67,7500
